,year,density,clustering,preferential_edges,jacc_edges
0,1708,0.8333333333333334,0.833,0.0,0.0
1,1709,0.30303030303030304,0.848,0.0,0.0
2,1710,0.051203277009728626,0.915,0.02,0.02
3,1711,0.01699572992855029,0.826,0.0,0.0
4,1712,0.01109227073618765,0.805,0.0,0.03
5,1713,0.010206915706151924,0.779,0.0,0.06
6,1714,0.008533342309893291,0.767,0.0,0.08
7,1715,0.00815347721822542,0.785,0.01,0.09
8,1716,0.007526408450704226,0.792,0.03,0.11
9,1717,0.007323128360592337,0.791,0.0,0.11
10,1718,0.007344458667172363,0.78,0.0,0.03
11,1719,0.007217928043151866,0.797,0.0,0.0
12,1720,0.007217928043151866,0.787,0.0,0.0
